# time	signal	one_signal	two_signal
-1.998755888181063349e-06 2.520009875297546387e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.996755888237627212e-06 2.879984676837921143e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.994755888294191075e-06 2.159997820854187012e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.992755888350754938e-06 1.799985766410827637e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.990755888407318801e-06 3.600120544433593750e-05 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.988755888463882664e-06 -7.199868559837341309e-05 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.986755888520446527e-06 -1.440010964870452881e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.984755888577010390e-06 -1.799985766410827637e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.982755888633574253e-06 -2.879984676837921143e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.980755888690138116e-06 -4.680007696151733398e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.978755888746701979e-06 -5.399994552135467529e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.976755888803265842e-06 -5.399994552135467529e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.974755888859829705e-06 -5.039982497692108154e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.972755888916393567e-06 -9.360015392303466797e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.970755888972957430e-06 -1.260001212358474731e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.968755889029521293e-06 -1.584000885486602783e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.966755889086085156e-06 -1.727998256683349609e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.964755889142649019e-06 -2.124000340700149536e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.962755889199212882e-06 -2.484001219272613525e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.960755889255776745e-06 -2.700001001358032227e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.958755889312340608e-06 -2.916000783443450928e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.956755889368904471e-06 -3.168001770973205566e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.954755889425468334e-06 -3.276001662015914917e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.952755889482032197e-06 -3.419999033212661743e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.950755889538596060e-06 -3.635998815298080444e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.948755889595159923e-06 -3.672000020742416382e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.946755889651723786e-06 -3.527998924255371094e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.944755889708287648e-06 -3.348000347614288330e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.942755889764851511e-06 -3.095999360084533691e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.940755889821415374e-06 -3.024000674486160278e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.938755889877979237e-06 -2.808000892400741577e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.936755889934543100e-06 -2.592001110315322876e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.934755889991106963e-06 -2.376001328229904175e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.932755890047670826e-06 -2.160001546144485474e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.930755890104234689e-06 -2.087999135255813599e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.928755890160798552e-06 -2.160001546144485474e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.926755890217362415e-06 -1.836001873016357422e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.924755890273926278e-06 -2.087999135255813599e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.922755890330490141e-06 -1.944001764059066772e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.920755890387054004e-06 -1.871999353170394897e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.918755890443617867e-06 -1.763999462127685547e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.916755890500181729e-06 -1.763999462127685547e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.914755890556745592e-06 -1.655999571084976196e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.912755890613309455e-06 -1.547999680042266846e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.910755890669873318e-06 -1.619998365640640259e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.908755890726437181e-06 -1.763999462127685547e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.906755890783001044e-06 -1.836001873016357422e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.904755890839564907e-06 -1.800000667572021484e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.902755890896128770e-06 -1.692000776529312134e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.900755890952692633e-06 -1.619998365640640259e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.898755891009256496e-06 -1.476000994443893433e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.896755891065820359e-06 -1.547999680042266846e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.894755891122384222e-06 -1.403998583555221558e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.892755891178948085e-06 -1.476000994443893433e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.890755891235511947e-06 -1.547999680042266846e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.888755891292075810e-06 -1.584000885486602783e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.886755891348639673e-06 -1.871999353170394897e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.884755891405203536e-06 -2.052001655101776123e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.882755891461767399e-06 -2.052001655101776123e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.880755891518331262e-06 -2.087999135255813599e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.878755891574895125e-06 -2.340000122785568237e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.876755891631458988e-06 -2.555999904870986938e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.874755891688022851e-06 -2.519998699426651001e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.872755891744586714e-06 -2.700001001358032227e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.870755891801150577e-06 -3.095999360084533691e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.868755891857714440e-06 -3.132000565528869629e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.866755891914278303e-06 -3.240000456571578979e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.864755891970842166e-06 -3.384001553058624268e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.862755892027406028e-06 -3.311999142169952393e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.860755892083969891e-06 -3.311999142169952393e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.858755892140533754e-06 -3.060001879930496216e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.856755892197097617e-06 -2.843998372554779053e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.854755892253661480e-06 -2.771999686956405640e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.852755892310225343e-06 -2.592001110315322876e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.850755892366789206e-06 -2.160001546144485474e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.848755892423353069e-06 -1.763999462127685547e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.846755892479916932e-06 -1.584000885486602783e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.844755892536480795e-06 -1.368001103401184082e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.842755892593044658e-06 -1.260001212358474731e-03 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.840755892649608521e-06 -9.000003337860107422e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.838755892706172384e-06 -7.200017571449279785e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.836755892762736247e-06 -7.920004427433013916e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.834755892819300109e-06 -3.959983587265014648e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
-1.832755892875863972e-06 -5.039982497692108154e-04 -2.260205002986296127e-05 -2.258024723506886437e-05
